invoice_id,sale_id,delivery_id,customer_id,invoice_date,subtotal_net,tax_breakdown,tax_amount,total_gross,due_date,payment_days,payment_status,payment_date
FAC-2024-0000399,SO-2024-0000399,ALB-2024-0000260,CUST_42D951976E75,2024-03-18,27.7,"{'4%': 0.11, '10%': 2.43, '21%': 0.13}",2.67,30.37,2024-03-18,0,paid,2024-03-18
FAC-2024-0000400,SO-2024-0000400,,CUST_B3EE5A104129,2024-03-16,28.02,"{'4%': 0.18, '10%': 0.8, '21%': 3.27}",4.25,32.27,2024-03-16,0,paid,2024-03-17
FAC-2024-0000401,SO-2024-0000401,,CUST_A9E2952E6ABB,2024-03-16,33.35,"{'4%': 0.31, '10%': 2.56, '21%': 0.0}",2.87,36.22,2024-03-16,0,paid,2024-03-16
FAC-2024-0000402,SO-2024-0000402,ALB-2024-0000261,CUST_70E704D9145E,2024-03-17,55.0,"{'4%': 0.68, '10%': 3.55, '21%': 0.54}",4.77,59.77,2024-03-17,0,paid,2024-03-17
FAC-2024-0000403,SO-2024-0000403,ALB-2024-0000262,CUST_F6D2AEC76A82,2024-03-23,26.09,"{'4%': 0.07, '10%': 1.77, '21%': 1.38}",3.22,29.31,2024-03-23,0,paid,2024-03-24
FAC-2024-0000404,SO-2024-0000404,ALB-2024-0000263,CUST_592A7BA109D0,2024-03-20,117.23,"{'4%': 0.5, '10%': 6.89, '21%': 7.52}",14.91,132.14,2024-03-20,0,paid,2024-03-20
FAC-2024-0000405,SO-2024-0000405,,CUST_7A1036A2C52B,2024-03-16,103.94,"{'4%': 1.76, '10%': 4.86, '21%': 2.36}",8.98,112.92,2024-03-16,0,paid,2024-03-17
FAC-2024-0000406,SO-2024-0000406,ALB-2024-0000264,CUST_AB0B15F0EA19,2024-03-17,46.97,"{'4%': 0.73, '10%': 0.99, '21%': 3.99}",5.71,52.68,2024-03-17,0,paid,2024-03-17
FAC-2024-0000407,SO-2024-0000407,ALB-2024-0000265,CUST_DD920DB977A9,2024-03-19,30.63,"{'4%': 0.15, '10%': 1.97, '21%': 1.51}",3.63,34.26,2024-03-19,0,paid,2024-03-19
FAC-2024-0000408,SO-2024-0000408,ALB-2024-0000266,CUST_FB8FD8B48EAD,2024-03-19,34.05,"{'4%': 0.16, '10%': 0.41, '21%': 5.46}",6.03,40.08,2024-04-03,15,pending,
FAC-2024-0000409,SO-2024-0000409,,CUST_E6B3CB323E35,2024-03-18,69.46,"{'4%': 2.78, '10%': 0.0, '21%': 0.0}",2.78,72.24,2024-03-18,0,paid,2024-03-18
FAC-2024-0000410,SO-2024-0000410,,CUST_84410299436A,2024-03-18,154.27,"{'4%': 4.74, '10%': 2.58, '21%': 2.1}",9.42,163.69,2024-03-18,0,paid,2024-03-19
FAC-2024-0000411,SO-2024-0000411,ALB-2024-0000267,CUST_C5A1AD05B912,2024-03-20,38.36,"{'4%': 0.24, '10%': 2.09, '21%': 2.42}",4.75,43.11,2024-03-20,0,paid,2024-03-21
FAC-2024-0000412,SO-2024-0000412,ALB-2024-0000268,CUST_6FFFB2DC6C34,2024-03-21,43.21,"{'4%': 0.32, '10%': 1.53, '21%': 4.18}",6.03,49.24,2024-03-21,0,paid,2024-03-22
FAC-2024-0000413,SO-2024-0000413,ALB-2024-0000269,CUST_707DFDB1429E,2024-03-23,37.73,"{'4%': 0.07, '10%': 1.45, '21%': 4.51}",6.03,43.76,2024-03-23,0,paid,2024-03-24
FAC-2024-0000414,SO-2024-0000414,ALB-2024-0000270,CUST_A87990422EB7,2024-03-21,62.32,"{'4%': 0.12, '10%': 5.07, '21%': 1.83}",7.02,69.34,2024-04-05,15,pending,
FAC-2024-0000415,SO-2024-0000415,ALB-2024-0000271,CUST_4A94CC351E4F,2024-03-25,42.98,"{'4%': 0.55, '10%': 0.97, '21%': 4.11}",5.63,48.61,2024-04-09,15,pending,
FAC-2024-0000416,SO-2024-0000416,,CUST_592A7BA109D0,2024-03-19,72.15,"{'4%': 0.2, '10%': 4.5, '21%': 4.65}",9.35,81.5,2024-03-19,0,paid,2024-03-20
FAC-2024-0000417,SO-2024-0000417,ALB-2024-0000272,CUST_C60161FA01BA,2024-03-22,21.56,"{'4%': 0.31, '10%': 0.35, '21%': 2.15}",2.81,24.37,2024-03-22,0,paid,2024-03-22
FAC-2024-0000418,SO-2024-0000418,ALB-2024-0000273,CUST_7DE36694C343,2024-03-23,15.98,"{'4%': 0.32, '10%': 0.48, '21%': 0.7}",1.5,17.48,2024-03-23,0,paid,2024-03-23
FAC-2024-0000419,SO-2024-0000419,ALB-2024-0000274,CUST_FBE9DBC080FD,2024-03-23,14.17,"{'4%': 0.0, '10%': 0.18, '21%': 2.59}",2.77,16.94,2024-03-23,0,paid,2024-03-23
FAC-2024-0000420,SO-2024-0000420,ALB-2024-0000275,CUST_CB3CA3925731,2024-03-24,78.02,"{'4%': 1.29, '10%': 3.0, '21%': 3.34}",7.63,85.65,2024-03-24,0,paid,2024-03-24
FAC-2024-0000421,SO-2024-0000421,,CUST_668C0B95017C,2024-03-20,52.21,"{'4%': 0.37, '10%': 2.05, '21%': 4.74}",7.16,59.37,2024-03-20,0,paid,2024-03-20
FAC-2024-0000422,SO-2024-0000422,ALB-2024-0000276,CUST_9C2EEA4E3617,2024-03-23,51.63,"{'4%': 0.18, '10%': 1.41, '21%': 6.94}",8.53,60.16,2024-03-23,0,paid,2024-03-24
FAC-2024-0000423,SO-2024-0000423,,CUST_35AD43E4F668,2024-03-21,34.26,"{'4%': 0.23, '10%': 1.87, '21%': 2.04}",4.14,38.4,2024-03-21,0,paid,2024-03-22
FAC-2024-0000424,SO-2024-0000424,,CUST_42D951976E75,2024-03-21,27.29,"{'4%': 0.0, '10%': 1.79, '21%': 1.98}",3.77,31.06,2024-03-21,0,paid,2024-03-21
FAC-2024-0000425,SO-2024-0000425,ALB-2024-0000277,CUST_9C100F6B40D0,2024-03-25,36.5,"{'4%': 0.22, '10%': 1.17, '21%': 4.07}",5.46,41.96,2024-03-25,0,paid,2024-03-25
FAC-2024-0000426,SO-2024-0000426,ALB-2024-0000278,CUST_58F0AAF78C67,2024-03-27,82.96,"{'4%': 0.56, '10%': 5.91, '21%': 2.09}",8.56,91.52,2024-03-27,0,paid,2024-03-27
FAC-2024-0000427,SO-2024-0000427,,CUST_70E704D9145E,2024-03-22,67.25,"{'4%': 2.54, '10%': 0.0, '21%': 0.8}",3.34,70.59,2024-03-22,0,paid,2024-03-22
FAC-2024-0000428,SO-2024-0000428,ALB-2024-0000279,CUST_D7F3C2EFEECB,2024-03-24,27.2,"{'4%': 0.52, '10%': 0.57, '21%': 1.79}",2.88,30.08,2024-03-24,0,paid,2024-03-24
FAC-2024-0000429,SO-2024-0000429,ALB-2024-0000280,CUST_B27B68C690B2,2024-03-23,57.22,"{'4%': 0.38, '10%': 4.25, '21%': 1.09}",5.72,62.94,2024-03-23,0,paid,2024-03-23
FAC-2024-0000430,SO-2024-0000430,ALB-2024-0000281,CUST_9C2EEA4E3617,2024-03-25,59.33,"{'4%': 0.68, '10%': 4.23, '21%': 0.0}",4.91,64.24,2024-03-25,0,paid,2024-03-25
FAC-2024-0000431,SO-2024-0000431,ALB-2024-0000282,CUST_45F52E2FBF77,2024-03-25,31.51,"{'4%': 0.19, '10%': 1.61, '21%': 2.24}",4.04,35.55,2024-04-09,15,pending,
FAC-2024-0000432,SO-2024-0000432,ALB-2024-0000283,CUST_707DFDB1429E,2024-03-25,57.69,"{'4%': 0.0, '10%': 4.87, '21%': 1.88}",6.75,64.44,2024-03-25,0,paid,2024-03-25
FAC-2024-0000433,SO-2024-0000433,,CUST_4EFCE10B1A47,2024-03-23,126.57,"{'4%': 0.23, '10%': 9.77, '21%': 4.84}",14.84,141.41,2024-04-07,15,pending,
FAC-2024-0000434,SO-2024-0000434,ALB-2024-0000284,CUST_A383DB2C6AC8,2024-03-26,24.97,"{'4%': 0.38, '10%': 1.54, '21%': 0.0}",1.92,26.89,2024-03-26,0,paid,2024-03-27
FAC-2024-0000435,SO-2024-0000435,ALB-2024-0000285,CUST_12B2940C3503,2024-03-25,35.37,"{'4%': 0.61, '10%': 0.89, '21%': 2.37}",3.87,39.24,2024-03-25,0,paid,2024-03-25
FAC-2024-0000436,SO-2024-0000436,ALB-2024-0000286,CUST_501B5EE68495,2024-03-27,20.75,"{'4%': 0.0, '10%': 0.14, '21%': 4.06}",4.2,24.95,2024-04-11,15,pending,
FAC-2024-0000437,SO-2024-0000437,ALB-2024-0000287,CUST_E709329FC417,2024-03-24,23.32,"{'4%': 0.08, '10%': 0.19, '21%': 4.08}",4.35,27.67,2024-03-24,0,paid,2024-03-24
FAC-2024-0000438,SO-2024-0000438,,CUST_9DF29E825AAE,2024-03-23,58.55,"{'4%': 0.34, '10%': 4.0, '21%': 2.11}",6.45,65.0,2024-03-23,0,paid,2024-03-24
FAC-2024-0000439,SO-2024-0000439,,CUST_66C18255DA61,2024-03-24,30.02,"{'4%': 0.44, '10%': 0.45, '21%': 3.03}",3.92,33.94,2024-03-24,0,paid,2024-03-25
FAC-2024-0000440,SO-2024-0000440,ALB-2024-0000288,CUST_9EA931227592,2024-03-28,12.55,"{'4%': 0.0, '10%': 1.26, '21%': 0.0}",1.26,13.81,2024-03-28,0,paid,2024-03-29
FAC-2024-0000441,SO-2024-0000441,ALB-2024-0000289,CUST_FD03C9525185,2024-03-30,8.46,"{'4%': 0.12, '10%': 0.39, '21%': 0.35}",0.86,9.32,2024-03-30,0,paid,2024-03-31
FAC-2024-0000442,SO-2024-0000442,ALB-2024-0000290,CUST_89EC98CBAA52,2024-03-28,46.21,"{'4%': 0.12, '10%': 1.45, '21%': 6.04}",7.61,53.82,2024-03-28,0,paid,2024-03-29
FAC-2024-0000443,SO-2024-0000443,ALB-2024-0000291,CUST_624FBAE1E137,2024-03-28,54.53,"{'4%': 2.18, '10%': 0.0, '21%': 0.0}",2.18,56.71,2024-03-28,0,paid,2024-03-28
FAC-2024-0000444,SO-2024-0000444,ALB-2024-0000292,CUST_9F6ABD54DA04,2024-03-27,53.05,"{'4%': 0.0, '10%': 1.9, '21%': 7.16}",9.06,62.11,2024-03-27,0,paid,2024-03-27
FAC-2024-0000445,SO-2024-0000445,ALB-2024-0000293,CUST_84410299436A,2024-03-28,98.33,"{'4%': 0.93, '10%': 5.1, '21%': 5.06}",11.09,109.42,2024-03-28,0,paid,2024-03-29
FAC-2024-0000446,SO-2024-0000446,ALB-2024-0000294,CUST_CDCCA9434AA0,2024-03-29,56.33,"{'4%': 1.07, '10%': 1.46, '21%': 3.15}",5.68,62.01,2024-03-29,0,paid,2024-03-29
FAC-2024-0000447,SO-2024-0000447,ALB-2024-0000295,CUST_585A7BFDCC12,2024-03-28,45.25,"{'4%': 1.08, '10%': 1.28, '21%': 1.15}",3.51,48.76,2024-03-28,0,paid,2024-03-28
FAC-2024-0000448,SO-2024-0000448,ALB-2024-0000296,CUST_58F0AAF78C67,2024-04-01,93.81,"{'4%': 0.0, '10%': 2.49, '21%': 14.48}",16.97,110.78,2024-04-01,0,paid,2024-04-01
FAC-2024-0000449,SO-2024-0000449,ALB-2024-0000297,CUST_B86623D4526B,2024-03-30,50.05,"{'4%': 0.18, '10%': 1.37, '21%': 6.71}",8.26,58.31,2024-04-14,15,pending,
FAC-2024-0000450,SO-2024-0000450,ALB-2024-0000298,CUST_F96DBED63DA0,2024-03-28,51.81,"{'4%': 0.0, '10%': 4.86, '21%': 0.68}",5.54,57.35,2024-03-28,0,paid,2024-03-28
FAC-2024-0000451,SO-2024-0000451,ALB-2024-0000299,CUST_30B1310C0C00,2024-03-29,145.76,"{'4%': 0.58, '10%': 10.17, '21%': 6.19}",16.94,162.7,2024-03-29,0,paid,2024-03-29
FAC-2024-0000452,SO-2024-0000452,,CUST_A149F920264C,2024-03-27,80.59,"{'4%': 0.95, '10%': 4.15, '21%': 3.2}",8.3,88.89,2024-03-27,0,paid,2024-03-28
FAC-2024-0000453,SO-2024-0000453,ALB-2024-0000300,CUST_04AA5CA0C428,2024-03-30,132.67,"{'4%': 0.42, '10%': 6.75, '21%': 11.51}",18.68,151.35,2024-04-29,30,pending,
FAC-2024-0000454,SO-2024-0000454,,CUST_70E704D9145E,2024-03-27,52.27,"{'4%': 0.28, '10%': 0.48, '21%': 8.53}",9.29,61.56,2024-03-27,0,paid,2024-03-27
FAC-2024-0000455,SO-2024-0000455,,CUST_89EC98CBAA52,2024-03-27,47.61,"{'4%': 0.26, '10%': 1.15, '21%': 6.2}",7.61,55.22,2024-03-27,0,paid,2024-03-28
FAC-2024-0000456,SO-2024-0000456,,CUST_90CEE9A53368,2024-03-27,59.78,"{'4%': 0.56, '10%': 2.13, '21%': 5.12}",7.81,67.59,2024-03-27,0,paid,2024-03-28
FAC-2024-0000457,SO-2024-0000457,,CUST_C1D7F3025D16,2024-03-27,147.42,"{'4%': 4.83, '10%': 1.97, '21%': 1.44}",8.24,155.66,2024-04-26,30,pending,
FAC-2024-0000458,SO-2024-0000458,,CUST_655243FF5011,2024-03-28,62.95,"{'4%': 0.21, '10%': 2.58, '21%': 6.71}",9.5,72.45,2024-03-28,0,paid,2024-03-28
FAC-2024-0000459,SO-2024-0000459,ALB-2024-0000301,CUST_A66F39669FA7,2024-03-31,34.62,"{'4%': 0.97, '10%': 0.71, '21%': 0.67}",2.35,36.97,2024-03-31,0,paid,2024-03-31
FAC-2024-0000460,SO-2024-0000460,,CUST_623225074181,2024-03-28,101.94,"{'4%': 0.56, '10%': 3.61, '21%': 10.87}",15.04,116.98,2024-03-28,0,paid,2024-03-29
FAC-2024-0000461,SO-2024-0000461,ALB-2024-0000302,CUST_707DFDB1429E,2024-03-30,48.79,"{'4%': 0.51, '10%': 2.73, '21%': 1.83}",5.07,53.86,2024-03-30,0,paid,2024-03-31
FAC-2024-0000462,SO-2024-0000462,ALB-2024-0000303,CUST_07F8F3EA0184,2024-03-29,52.65,"{'4%': 1.9, '10%': 0.0, '21%': 1.09}",2.99,55.64,2024-03-29,0,paid,2024-03-29
FAC-2024-0000463,SO-2024-0000463,,CUST_F96DBED63DA0,2024-03-28,35.19,"{'4%': 0.2, '10%': 1.75, '21%': 2.65}",4.6,39.79,2024-03-28,0,paid,2024-03-29
FAC-2024-0000464,SO-2024-0000464,ALB-2024-0000304,CUST_E709329FC417,2024-03-30,213.69,"{'4%': 0.0, '10%': 21.29, '21%': 0.17}",21.46,235.15,2024-03-30,0,paid,2024-03-30
FAC-2024-0000465,SO-2024-0000465,,CUST_DD46475287AA,2024-03-29,33.7,"{'4%': 0.12, '10%': 1.03, '21%': 4.29}",5.44,39.14,2024-03-29,0,paid,2024-03-29
FAC-2024-0000466,SO-2024-0000466,ALB-2024-0000305,CUST_4BB0B27C4026,2024-04-02,21.31,"{'4%': 0.0, '10%': 1.38, '21%': 1.59}",2.97,24.28,2024-04-02,0,paid,2024-04-03
FAC-2024-0000467,SO-2024-0000467,,CUST_E6B3CB323E35,2024-03-29,85.14,"{'4%': 1.14, '10%': 3.83, '21%': 3.85}",8.82,93.96,2024-03-29,0,paid,2024-03-30
FAC-2024-0000468,SO-2024-0000468,ALB-2024-0000306,CUST_A66F39669FA7,2024-04-02,32.38,"{'4%': 0.0, '10%': 2.19, '21%': 2.2}",4.39,36.77,2024-04-02,0,paid,2024-04-02
FAC-2024-0000469,SO-2024-0000469,ALB-2024-0000307,CUST_C4F97630A8A7,2024-04-01,44.82,"{'4%': 0.27, '10%': 2.32, '21%': 3.16}",5.75,50.57,2024-04-01,0,paid,2024-04-02
FAC-2024-0000470,SO-2024-0000470,,CUST_CC393B5AE288,2024-03-29,131.38,"{'4%': 1.57, '10%': 7.06, '21%': 4.5}",13.13,144.51,2024-03-29,0,paid,2024-03-29
FAC-2024-0000471,SO-2024-0000471,ALB-2024-0000308,CUST_624FBAE1E137,2024-04-01,61.09,"{'4%': 0.68, '10%': 2.77, '21%': 3.46}",6.91,68.0,2024-04-01,0,paid,2024-04-02
FAC-2024-0000472,SO-2024-0000472,ALB-2024-0000309,CUST_F157018267C4,2024-04-02,115.23,"{'4%': 1.03, '10%': 4.28, '21%': 9.81}",15.12,130.35,2024-04-02,0,paid,2024-04-02
FAC-2024-0000473,SO-2024-0000473,ALB-2024-0000310,CUST_A48ED0421DFA,2024-04-03,81.9,"{'4%': 0.84, '10%': 3.92, '21%': 4.55}",9.31,91.21,2024-04-03,0,paid,2024-04-03
FAC-2024-0000474,SO-2024-0000474,ALB-2024-0000311,CUST_07F8F3EA0184,2024-03-31,31.33,"{'4%': 0.51, '10%': 0.88, '21%': 2.05}",3.44,34.77,2024-03-31,0,paid,2024-03-31
FAC-2024-0000475,SO-2024-0000475,,CUST_BF3182BBAD84,2024-03-30,110.02,"{'4%': 0.63, '10%': 6.06, '21%': 7.07}",13.76,123.78,2024-03-30,0,paid,2024-03-31
FAC-2024-0000476,SO-2024-0000476,,CUST_1A57C5F8E2F8,2024-03-30,58.05,"{'4%': 1.25, '10%': 1.89, '21%': 1.68}",4.82,62.87,2024-03-30,0,paid,2024-03-30
FAC-2024-0000477,SO-2024-0000477,ALB-2024-0000312,CUST_9F6ABD54DA04,2024-04-03,52.94,"{'4%': 0.0, '10%': 0.0, '21%': 11.12}",11.12,64.06,2024-04-03,0,paid,2024-04-03
FAC-2024-0000478,SO-2024-0000478,ALB-2024-0000313,CUST_A2119FD34579,2024-04-03,73.86,"{'4%': 0.45, '10%': 4.01, '21%': 4.72}",9.18,83.04,2024-04-03,0,paid,2024-04-04
FAC-2024-0000479,SO-2024-0000479,ALB-2024-0000314,CUST_C0D7095FFA81,2024-04-02,63.63,"{'4%': 0.62, '10%': 2.78, '21%': 4.27}",7.67,71.3,2024-04-02,0,paid,2024-04-02
FAC-2024-0000480,SO-2024-0000480,ALB-2024-0000315,CUST_008D610461E3,2024-04-04,65.18,"{'4%': 0.24, '10%': 2.98, '21%': 6.16}",9.38,74.56,2024-04-04,0,paid,2024-04-05
FAC-2024-0000481,SO-2024-0000481,ALB-2024-0000316,CUST_98159D713084,2024-04-04,111.7,"{'4%': 1.52, '10%': 5.5, '21%': 3.94}",10.96,122.66,2024-04-04,0,paid,2024-04-05
FAC-2024-0000482,SO-2024-0000482,ALB-2024-0000317,CUST_07F8F3EA0184,2024-04-03,29.29,"{'4%': 0.0, '10%': 2.93, '21%': 0.0}",2.93,32.22,2024-04-03,0,paid,2024-04-04
FAC-2024-0000483,SO-2024-0000483,,CUST_4758A6499CDC,2024-04-01,139.79,"{'4%': 1.73, '10%': 7.88, '21%': 3.73}",13.34,153.13,2024-04-01,0,paid,2024-04-02
FAC-2024-0000484,SO-2024-0000484,,CUST_A3010E5D8C6A,2024-04-01,100.98,"{'4%': 0.24, '10%': 8.59, '21%': 1.89}",10.72,111.7,2024-04-01,0,paid,2024-04-01
FAC-2024-0000485,SO-2024-0000485,ALB-2024-0000318,CUST_9E5DC5ACC354,2024-04-03,62.04,"{'4%': 1.64, '10%': 1.28, '21%': 1.72}",4.64,66.68,2024-04-03,0,paid,2024-04-03
FAC-2024-0000486,SO-2024-0000486,ALB-2024-0000319,CUST_9A6C52171C88,2024-04-04,35.1,"{'4%': 0.19, '10%': 0.77, '21%': 4.78}",5.74,40.84,2024-04-04,0,paid,2024-04-05
FAC-2024-0000487,SO-2024-0000487,,CUST_BF3182BBAD84,2024-04-01,152.97,"{'4%': 3.43, '10%': 6.71, '21%': 0.0}",10.14,163.11,2024-04-01,0,paid,2024-04-02
FAC-2024-0000488,SO-2024-0000488,ALB-2024-0000320,CUST_C4F97630A8A7,2024-04-05,75.45,"{'4%': 0.0, '10%': 5.85, '21%': 3.55}",9.4,84.85,2024-04-05,0,paid,2024-04-06
FAC-2024-0000489,SO-2024-0000489,ALB-2024-0000321,CUST_80BB6EC01269,2024-04-05,56.19,"{'4%': 0.21, '10%': 2.56, '21%': 5.35}",8.12,64.31,2024-04-20,15,pending,
FAC-2024-0000490,SO-2024-0000490,,CUST_501B5EE68495,2024-04-02,18.87,"{'4%': 0.0, '10%': 1.24, '21%': 1.35}",2.59,21.46,2024-04-17,15,pending,
FAC-2024-0000491,SO-2024-0000491,ALB-2024-0000322,CUST_B86623D4526B,2024-04-06,63.14,"{'4%': 0.13, '10%': 1.18, '21%': 10.1}",11.41,74.55,2024-04-21,15,pending,
FAC-2024-0000492,SO-2024-0000492,ALB-2024-0000323,CUST_DD920DB977A9,2024-04-04,22.01,"{'4%': 0.44, '10%': 0.23, '21%': 1.82}",2.49,24.5,2024-04-04,0,paid,2024-04-05
FAC-2024-0000493,SO-2024-0000493,ALB-2024-0000324,CUST_D37445712959,2024-04-06,72.31,"{'4%': 1.39, '10%': 1.92, '21%': 3.86}",7.17,79.48,2024-04-06,0,paid,2024-04-06
FAC-2024-0000494,SO-2024-0000494,,CUST_84410299436A,2024-04-03,86.37,"{'4%': 0.55, '10%': 3.59, '21%': 7.7}",11.84,98.21,2024-04-03,0,paid,2024-04-03
FAC-2024-0000495,SO-2024-0000495,ALB-2024-0000325,CUST_FD03C9525185,2024-04-07,15.74,"{'4%': 0.0, '10%': 0.0, '21%': 3.31}",3.31,19.05,2024-04-07,0,paid,2024-04-08
FAC-2024-0000496,SO-2024-0000496,ALB-2024-0000326,CUST_FBA6CDBCC653,2024-04-06,88.39,"{'4%': 1.01, '10%': 3.54, '21%': 5.85}",10.4,98.79,2024-04-21,15,pending,
FAC-2024-0000497,SO-2024-0000497,ALB-2024-0000327,CUST_F96DBED63DA0,2024-04-04,36.15,"{'4%': 0.53, '10%': 0.56, '21%': 3.63}",4.72,40.87,2024-04-04,0,paid,2024-04-04
FAC-2024-0000498,SO-2024-0000498,ALB-2024-0000328,CUST_255B7E3D5EE4,2024-04-07,86.87,"{'4%': 0.36, '10%': 6.62, '21%': 2.45}",9.43,96.3,2024-04-07,0,paid,2024-04-07
FAC-2024-0000499,SO-2024-0000499,,CUST_32735373BF4D,2024-04-03,112.7,"{'4%': 0.93, '10%': 7.38, '21%': 3.28}",11.59,124.29,2024-04-03,0,paid,2024-04-04
FAC-2024-0000500,SO-2024-0000500,ALB-2024-0000329,CUST_D7F3C2EFEECB,2024-04-06,30.32,"{'4%': 0.77, '10%': 0.72, '21%': 0.8}",2.29,32.61,2024-04-06,0,paid,2024-04-07
FAC-2024-0000501,SO-2024-0000501,ALB-2024-0000330,CUST_FE89D9CB3540,2024-04-05,61.61,"{'4%': 0.0, '10%': 5.01, '21%': 2.42}",7.43,69.04,2024-04-05,0,paid,2024-04-06
FAC-2024-0000502,SO-2024-0000502,ALB-2024-0000331,CUST_C1D7F3025D16,2024-04-05,52.32,"{'4%': 1.01, '10%': 0.88, '21%': 3.82}",5.71,58.03,2024-05-05,30,pending,
FAC-2024-0000503,SO-2024-0000503,ALB-2024-0000332,CUST_AB7FCD5F4822,2024-04-06,17.12,"{'4%': 0.03, '10%': 1.65, '21%': 0.0}",1.68,18.8,2024-04-06,0,paid,2024-04-07
FAC-2024-0000504,SO-2024-0000504,,CUST_98159D713084,2024-04-04,85.95,"{'4%': 0.0, '10%': 6.28, '21%': 4.86}",11.14,97.09,2024-04-04,0,paid,2024-04-05
FAC-2024-0000505,SO-2024-0000505,ALB-2024-0000333,CUST_655243FF5011,2024-04-07,73.33,"{'4%': 0.74, '10%': 4.47, '21%': 2.12}",7.33,80.66,2024-04-07,0,paid,2024-04-07
FAC-2024-0000506,SO-2024-0000506,ALB-2024-0000334,CUST_7F29BEC39A37,2024-04-09,46.35,"{'4%': 0.72, '10%': 0.76, '21%': 4.38}",5.86,52.21,2024-04-09,0,paid,2024-04-09
FAC-2024-0000507,SO-2024-0000507,ALB-2024-0000335,CUST_9C2EEA4E3617,2024-04-07,48.81,"{'4%': 0.25, '10%': 3.83, '21%': 0.9}",4.98,53.79,2024-04-07,0,paid,2024-04-07
FAC-2024-0000508,SO-2024-0000508,ALB-2024-0000336,CUST_51B11B2EDEDB,2024-04-07,12.33,"{'4%': 0.0, '10%': 0.53, '21%': 1.48}",2.01,14.34,2024-04-07,0,paid,2024-04-08
FAC-2024-0000509,SO-2024-0000509,,CUST_66C18255DA61,2024-04-05,29.14,"{'4%': 0.1, '10%': 0.15, '21%': 5.26}",5.51,34.65,2024-04-05,0,paid,2024-04-06
FAC-2024-0000510,SO-2024-0000510,ALB-2024-0000337,CUST_93D551A3AC26,2024-04-09,97.9,"{'4%': 1.94, '10%': 1.17, '21%': 7.93}",11.04,108.94,2024-04-24,15,pending,
FAC-2024-0000511,SO-2024-0000511,ALB-2024-0000338,CUST_501B5EE68495,2024-04-10,24.68,"{'4%': 0.07, '10%': 1.49, '21%': 1.69}",3.25,27.93,2024-04-25,15,pending,
FAC-2024-0000512,SO-2024-0000512,ALB-2024-0000339,CUST_89EC98CBAA52,2024-04-06,37.98,"{'4%': 0.55, '10%': 1.22, '21%': 2.53}",4.3,42.28,2024-04-06,0,paid,2024-04-06
FAC-2024-0000513,SO-2024-0000513,,CUST_562819DD3E8C,2024-04-05,57.63,"{'4%': 0.44, '10%': 2.89, '21%': 3.74}",7.07,64.7,2024-05-05,30,pending,
FAC-2024-0000514,SO-2024-0000514,,CUST_84410299436A,2024-04-06,162.91,"{'4%': 2.71, '10%': 9.15, '21%': 0.76}",12.62,175.53,2024-04-06,0,paid,2024-04-06
FAC-2024-0000515,SO-2024-0000515,ALB-2024-0000340,CUST_585A7BFDCC12,2024-04-07,64.56,"{'4%': 0.69, '10%': 3.28, '21%': 3.04}",7.01,71.57,2024-04-07,0,paid,2024-04-08
FAC-2024-0000516,SO-2024-0000516,,CUST_A48ED0421DFA,2024-04-06,73.53,"{'4%': 0.99, '10%': 3.18, '21%': 3.57}",7.74,81.27,2024-04-06,0,paid,2024-04-06
FAC-2024-0000517,SO-2024-0000517,,CUST_EFFA3040413C,2024-04-06,39.27,"{'4%': 0.0, '10%': 3.93, '21%': 0.0}",3.93,43.2,2024-04-06,0,paid,2024-04-06
FAC-2024-0000518,SO-2024-0000518,ALB-2024-0000341,CUST_F96DBED63DA0,2024-04-09,32.59,"{'4%': 0.25, '10%': 1.21, '21%': 3.01}",4.47,37.06,2024-04-09,0,paid,2024-04-10
FAC-2024-0000519,SO-2024-0000519,,CUST_0E61171B1B80,2024-04-06,15.97,"{'4%': 0.23, '10%': 0.56, '21%': 0.96}",1.75,17.72,2024-04-06,0,paid,2024-04-07
FAC-2024-0000520,SO-2024-0000520,ALB-2024-0000342,CUST_585A7BFDCC12,2024-04-10,47.31,"{'4%': 0.37, '10%': 0.81, '21%': 6.3}",7.48,54.79,2024-04-10,0,paid,2024-04-11
FAC-2024-0000521,SO-2024-0000521,ALB-2024-0000343,CUST_0E61171B1B80,2024-04-11,23.61,"{'4%': 0.0, '10%': 1.37, '21%': 2.08}",3.45,27.06,2024-04-11,0,paid,2024-04-11
FAC-2024-0000522,SO-2024-0000522,ALB-2024-0000344,CUST_AD23DC322C97,2024-04-11,113.77,"{'4%': 0.63, '10%': 4.4, '21%': 11.34}",16.37,130.14,2024-05-11,30,pending,
FAC-2024-0000523,SO-2024-0000523,ALB-2024-0000345,CUST_45F52E2FBF77,2024-04-12,31.94,"{'4%': 0.46, '10%': 1.64, '21%': 0.86}",2.96,34.9,2024-04-27,15,pending,
FAC-2024-0000524,SO-2024-0000524,ALB-2024-0000346,CUST_C0D7095FFA81,2024-04-11,76.69,"{'4%': 1.2, '10%': 3.55, '21%': 2.35}",7.1,83.79,2024-04-11,0,paid,2024-04-11
FAC-2024-0000525,SO-2024-0000525,,CUST_4758A6499CDC,2024-04-09,139.51,"{'4%': 0.75, '10%': 7.33, '21%': 9.94}",18.02,157.53,2024-04-09,0,paid,2024-04-10
