po_id,supplier_id,dc_id,order_date,expected_receipt_date,actual_receipt_date,status,incoterm,payment_terms,currency,total_cost_net,tax_amount,total_cost_gross
PO-2024-0000196,SUP_00016,DC_VLC,2024-02-08,2024-02-13,2024-02-13,received,DAP,30D,EUR,844.52,177.35,1021.87
PO-2024-0000197,SUP_00019,DC_ZGZ,2024-02-08,2024-02-10,2024-02-10,received,DAP,30D,EUR,418.8,41.88,460.68
PO-2024-0000198,SUP_00014,DC_SEV,2024-02-09,2024-02-19,2024-02-19,received,DAP,30D,EUR,1376.04,137.6,1513.64
PO-2024-0000199,SUP_00016,DC_SEV,2024-02-09,2024-02-13,2024-02-13,received,DAP,30D,EUR,724.59,152.16,876.75
PO-2024-0000200,SUP_00007,DC_BCN,2024-02-09,2024-02-12,2024-02-12,received,DAP,30D,EUR,1956.94,410.96,2367.9
PO-2024-0000201,SUP_00016,DC_BCN,2024-02-09,2024-02-13,2024-02-13,received,DAP,30D,EUR,826.66,173.6,1000.26
PO-2024-0000202,SUP_00016,DC_ZGZ,2024-02-09,2024-02-14,2024-02-14,received,DAP,30D,EUR,705.13,148.08,853.21
PO-2024-0000203,SUP_00004,DC_ZGZ,2024-02-09,2024-02-18,2024-02-18,received,DAP,30D,EUR,4767.29,1001.13,5768.42
PO-2024-0000204,SUP_00007,DC_MAD,2024-02-09,2024-02-12,2024-02-12,received,DAP,30D,EUR,662.05,139.03,801.08
PO-2024-0000205,SUP_00014,DC_BCN,2024-02-09,2024-02-21,2024-02-21,received,DAP,30D,EUR,501.24,50.12,551.36
PO-2024-0000206,SUP_00004,DC_BCN,2024-02-09,2024-02-21,2024-02-21,received,DAP,30D,EUR,253.99,53.34,307.33
PO-2024-0000207,SUP_00019,DC_MAD,2024-02-10,2024-02-12,2024-02-12,received,DAP,30D,EUR,796.34,79.63,875.97
PO-2024-0000208,SUP_00004,DC_MAD,2024-02-10,2024-02-19,2024-02-19,received,DAP,30D,EUR,754.8,158.51,913.31
PO-2024-0000209,SUP_00017,DC_BCN,2024-02-10,2024-02-18,2024-02-18,received,DAP,30D,EUR,249.87,24.99,274.86
PO-2024-0000210,SUP_00004,DC_BCN,2024-02-10,2024-02-22,2024-02-22,received,DAP,30D,EUR,478.01,100.38,578.39
PO-2024-0000211,SUP_00019,DC_BCN,2024-02-10,2024-02-12,2024-02-12,received,DAP,30D,EUR,502.14,50.21,552.35
PO-2024-0000212,SUP_00007,DC_BCN,2024-02-10,2024-02-13,2024-02-13,received,DAP,30D,EUR,2110.02,84.4,2194.42
PO-2024-0000213,SUP_00007,DC_SEV,2024-02-10,2024-02-13,2024-02-13,received,DAP,30D,EUR,1261.02,50.44,1311.46
PO-2024-0000214,SUP_00014,DC_SEV,2024-02-10,2024-02-21,2024-02-21,received,DAP,30D,EUR,982.53,98.25,1080.78
PO-2024-0000215,SUP_00016,DC_MAD,2024-02-10,2024-02-15,2024-02-15,received,DAP,30D,EUR,266.52,26.65,293.17
PO-2024-0000216,SUP_00014,DC_ZGZ,2024-02-10,2024-02-21,2024-02-21,received,DAP,30D,EUR,471.3,47.13,518.43
PO-2024-0000217,SUP_00016,DC_VLC,2024-02-10,2024-02-14,2024-02-14,received,DAP,30D,EUR,567.08,119.09,686.17
PO-2024-0000218,SUP_00007,DC_BCN,2024-02-11,2024-02-13,2024-02-13,received,DAP,30D,EUR,190.14,39.93,230.07
PO-2024-0000219,SUP_00016,DC_BCN,2024-02-11,2024-02-17,2024-02-17,received,DAP,30D,EUR,158.17,33.22,191.39
PO-2024-0000220,SUP_00016,DC_SEV,2024-02-12,2024-02-17,2024-02-17,received,DAP,30D,EUR,499.69,104.93,604.62
PO-2024-0000221,SUP_00017,DC_BCN,2024-02-12,2024-02-22,2024-02-22,received,DAP,30D,EUR,118.98,11.9,130.88
PO-2024-0000222,SUP_00016,DC_BCN,2024-02-12,2024-02-17,2024-02-17,received,DAP,30D,EUR,207.23,20.72,227.95
PO-2024-0000223,SUP_00017,DC_SEV,2024-02-13,2024-02-22,2024-02-22,received,DAP,30D,EUR,1773.27,177.33,1950.6
PO-2024-0000224,SUP_00007,DC_BCN,2024-02-13,2024-02-16,2024-02-16,received,DAP,30D,EUR,1550.22,150.84,1701.06
PO-2024-0000225,SUP_00017,DC_BCN,2024-02-13,2024-02-21,2024-02-21,received,DAP,30D,EUR,1181.84,118.18,1300.02
PO-2024-0000226,SUP_00016,DC_BCN,2024-02-13,2024-02-18,2024-02-18,received,DAP,30D,EUR,393.87,82.71,476.58
PO-2024-0000227,SUP_00004,DC_BCN,2024-02-13,2024-02-22,2024-02-22,received,DAP,30D,EUR,553.76,116.29,670.05
PO-2024-0000228,SUP_00007,DC_MAD,2024-02-13,2024-02-16,2024-02-16,received,DAP,30D,EUR,2106.82,84.27,2191.09
PO-2024-0000229,SUP_00016,DC_MAD,2024-02-13,2024-02-17,2024-02-17,received,DAP,30D,EUR,721.97,151.61,873.58
PO-2024-0000230,SUP_00019,DC_VLC,2024-02-13,2024-02-15,2024-02-15,received,DAP,30D,EUR,1093.39,109.34,1202.73
PO-2024-0000231,SUP_00007,DC_VLC,2024-02-13,2024-02-16,2024-02-16,received,DAP,30D,EUR,178.22,7.13,185.35
PO-2024-0000232,SUP_00005,DC_SEV,2024-02-14,2024-02-18,2024-02-18,received,DAP,30D,EUR,680.55,68.05,748.6
PO-2024-0000233,SUP_00007,DC_SEV,2024-02-14,2024-02-17,2024-02-17,received,DAP,30D,EUR,210.08,8.4,218.48
PO-2024-0000234,SUP_00017,DC_MAD,2024-02-14,2024-02-21,2024-02-21,received,DAP,30D,EUR,396.19,39.62,435.81
PO-2024-0000235,SUP_00017,DC_ZGZ,2024-02-14,2024-02-22,2024-02-22,received,DAP,30D,EUR,305.89,30.59,336.48
PO-2024-0000236,SUP_00014,DC_ZGZ,2024-02-14,2024-02-24,2024-02-24,received,DAP,30D,EUR,770.95,77.1,848.05
PO-2024-0000237,SUP_00016,DC_ZGZ,2024-02-14,2024-02-19,2024-02-19,received,DAP,30D,EUR,2933.58,616.05,3549.63
PO-2024-0000238,SUP_00016,DC_MAD,2024-02-14,2024-02-20,2024-02-20,received,DAP,30D,EUR,2283.33,479.5,2762.83
PO-2024-0000239,SUP_00004,DC_ZGZ,2024-02-15,2024-02-27,2024-02-27,received,DAP,30D,EUR,238.65,50.12,288.77
PO-2024-0000240,SUP_00016,DC_ZGZ,2024-02-15,2024-02-19,2024-02-19,received,DAP,30D,EUR,325.22,68.3,393.52
PO-2024-0000241,SUP_00016,DC_SEV,2024-02-15,2024-02-20,2024-02-20,received,DAP,30D,EUR,853.39,179.21,1032.6
PO-2024-0000242,SUP_00019,DC_ZGZ,2024-02-15,2024-02-17,2024-02-17,received,DAP,30D,EUR,2284.4,228.44,2512.84
PO-2024-0000243,SUP_00007,DC_BCN,2024-02-15,2024-02-18,2024-02-18,received,DAP,30D,EUR,149.44,31.38,180.82
PO-2024-0000244,SUP_00014,DC_BCN,2024-02-15,2024-02-24,2024-02-24,received,DAP,30D,EUR,543.6,54.36,597.96
PO-2024-0000245,SUP_00007,DC_ZGZ,2024-02-15,2024-02-18,2024-02-18,received,DAP,30D,EUR,402.51,84.53,487.04
PO-2024-0000246,SUP_00014,DC_ZGZ,2024-02-16,2024-02-26,2024-02-26,received,DAP,30D,EUR,773.24,77.32,850.56
PO-2024-0000247,SUP_00019,DC_ZGZ,2024-02-16,2024-02-18,2024-02-18,received,DAP,30D,EUR,1957.23,195.72,2152.95
PO-2024-0000248,SUP_00004,DC_ZGZ,2024-02-16,2024-02-26,2024-02-26,received,DAP,30D,EUR,338.7,71.13,409.83
PO-2024-0000249,SUP_00017,DC_ZGZ,2024-02-16,2024-02-23,2024-02-23,received,DAP,30D,EUR,159.49,15.95,175.44
PO-2024-0000250,SUP_00017,DC_MAD,2024-02-17,2024-02-25,2024-02-25,received,DAP,30D,EUR,1455.43,145.54,1600.97
PO-2024-0000251,SUP_00004,DC_MAD,2024-02-17,2024-02-27,2024-02-27,received,DAP,30D,EUR,544.18,114.28,658.46
PO-2024-0000252,SUP_00014,DC_MAD,2024-02-17,2024-02-26,2024-02-26,received,DAP,30D,EUR,1708.05,170.81,1878.86
PO-2024-0000253,SUP_00015,DC_ZGZ,2024-02-17,2024-02-20,2024-02-20,received,DAP,30D,EUR,945.99,37.84,983.83
PO-2024-0000254,SUP_00004,DC_ZGZ,2024-02-17,2024-02-27,2024-02-27,received,DAP,30D,EUR,357.06,74.98,432.04
PO-2024-0000255,SUP_00016,DC_SEV,2024-02-17,2024-02-22,2024-02-22,received,DAP,30D,EUR,872.16,147.21,1019.37
PO-2024-0000256,SUP_00004,DC_SEV,2024-02-17,2024-02-27,2024-02-27,received,DAP,30D,EUR,835.44,175.44,1010.88
PO-2024-0000257,SUP_00007,DC_ZGZ,2024-02-17,2024-02-19,2024-02-19,received,DAP,30D,EUR,1258.34,50.33,1308.67
PO-2024-0000258,SUP_00016,DC_ZGZ,2024-02-17,2024-02-22,2024-02-22,received,DAP,30D,EUR,148.4,31.16,179.56
PO-2024-0000259,SUP_00019,DC_SEV,2024-02-17,2024-02-19,2024-02-19,received,DAP,30D,EUR,277.17,27.72,304.89
PO-2024-0000260,SUP_00014,DC_SEV,2024-02-17,2024-02-25,2024-02-25,received,DAP,30D,EUR,608.48,60.85,669.33
PO-2024-0000261,SUP_00004,DC_VLC,2024-02-17,2024-02-25,2024-02-25,received,DAP,30D,EUR,101.43,21.3,122.73
PO-2024-0000262,SUP_00004,DC_ZGZ,2024-02-18,2024-02-26,2024-02-26,received,DAP,30D,EUR,202.59,42.54,245.13
PO-2024-0000263,SUP_00017,DC_ZGZ,2024-02-18,2024-02-25,2024-02-25,received,DAP,30D,EUR,539.55,53.95,593.5
PO-2024-0000264,SUP_00014,DC_ZGZ,2024-02-18,2024-02-28,2024-02-28,received,DAP,30D,EUR,613.63,61.36,674.99
PO-2024-0000265,SUP_00007,DC_ZGZ,2024-02-18,2024-02-21,2024-02-21,received,DAP,30D,EUR,58.7,12.33,71.03
PO-2024-0000266,SUP_00007,DC_VLC,2024-02-18,2024-02-21,2024-02-21,received,DAP,30D,EUR,337.99,13.52,351.51
PO-2024-0000267,SUP_00007,DC_BCN,2024-02-19,2024-02-22,2024-02-22,received,DAP,30D,EUR,399.81,15.99,415.8
PO-2024-0000268,SUP_00017,DC_BCN,2024-02-19,2024-02-26,2024-02-26,received,DAP,30D,EUR,186.23,18.62,204.85
PO-2024-0000269,SUP_00016,DC_ZGZ,2024-02-19,2024-02-24,2024-02-24,received,DAP,30D,EUR,83.52,17.54,101.06
PO-2024-0000270,SUP_00014,DC_ZGZ,2024-02-19,2024-03-02,2024-03-02,received,DAP,30D,EUR,537.64,53.76,591.4
PO-2024-0000271,SUP_00007,DC_ZGZ,2024-02-19,2024-02-22,2024-02-22,received,DAP,30D,EUR,598.42,23.94,622.36
PO-2024-0000272,SUP_00019,DC_SEV,2024-02-19,2024-02-21,2024-02-21,received,DAP,30D,EUR,352.36,35.24,387.6
PO-2024-0000273,SUP_00004,DC_SEV,2024-02-19,2024-02-28,2024-02-28,received,DAP,30D,EUR,490.49,103.0,593.49
PO-2024-0000274,SUP_00014,DC_SEV,2024-02-19,2024-02-28,2024-02-28,received,DAP,30D,EUR,797.83,79.78,877.61
PO-2024-0000275,SUP_00017,DC_SEV,2024-02-19,2024-02-27,2024-02-27,received,DAP,30D,EUR,307.16,30.72,337.88
PO-2024-0000276,SUP_00016,DC_BCN,2024-02-19,2024-02-25,2024-02-25,received,DAP,30D,EUR,748.18,157.12,905.3
PO-2024-0000277,SUP_00016,DC_ZGZ,2024-02-20,2024-02-24,2024-02-24,received,DAP,30D,EUR,676.18,142.0,818.18
PO-2024-0000278,SUP_00007,DC_MAD,2024-02-21,2024-02-24,2024-02-24,received,DAP,30D,EUR,1050.97,220.7,1271.67
PO-2024-0000279,SUP_00017,DC_ZGZ,2024-02-21,2024-02-28,2024-02-28,received,DAP,30D,EUR,177.87,17.79,195.66
PO-2024-0000280,SUP_00014,DC_SEV,2024-02-22,2024-03-03,2024-03-03,received,DAP,30D,EUR,608.44,60.84,669.28
PO-2024-0000281,SUP_00005,DC_SEV,2024-02-22,2024-02-25,2024-02-25,received,DAP,30D,EUR,670.05,67.0,737.05
PO-2024-0000282,SUP_00007,DC_BCN,2024-02-22,2024-02-26,2024-02-26,received,DAP,30D,EUR,110.11,23.12,133.23
PO-2024-0000283,SUP_00016,DC_MAD,2024-02-23,2024-02-28,2024-02-28,received,DAP,30D,EUR,530.92,53.09,584.01
PO-2024-0000284,SUP_00004,DC_BCN,2024-02-23,2024-03-03,2024-03-03,received,DAP,30D,EUR,153.02,32.13,185.15
PO-2024-0000285,SUP_00007,DC_VLC,2024-02-24,2024-02-27,2024-02-27,received,DAP,30D,EUR,300.35,12.01,312.36
PO-2024-0000286,SUP_00016,DC_VLC,2024-02-24,2024-02-28,2024-02-28,received,DAP,30D,EUR,365.57,36.56,402.13
PO-2024-0000287,SUP_00014,DC_MAD,2024-02-25,2024-03-05,2024-03-05,received,DAP,30D,EUR,2598.33,259.83,2858.16
PO-2024-0000288,SUP_00016,DC_MAD,2024-02-25,2024-03-01,2024-03-01,received,DAP,30D,EUR,269.91,56.68,326.59
PO-2024-0000289,SUP_00016,DC_BCN,2024-02-25,2024-03-01,2024-03-01,received,DAP,30D,EUR,237.66,49.91,287.57
PO-2024-0000290,SUP_00004,DC_BCN,2024-02-25,2024-03-05,2024-03-05,received,DAP,30D,EUR,212.97,44.72,257.69
PO-2024-0000291,SUP_00017,DC_BCN,2024-02-25,2024-03-05,2024-03-05,received,DAP,30D,EUR,530.76,53.08,583.84
PO-2024-0000292,SUP_00015,DC_SEV,2024-02-26,2024-02-29,2024-02-29,received,DAP,30D,EUR,152.63,6.11,158.74
PO-2024-0000293,SUP_00014,DC_SEV,2024-02-26,2024-03-07,2024-03-07,received,DAP,30D,EUR,329.45,32.95,362.4
PO-2024-0000294,SUP_00017,DC_SEV,2024-02-26,2024-03-06,2024-03-06,received,DAP,30D,EUR,2424.6,242.46,2667.06
PO-2024-0000295,SUP_00016,DC_MAD,2024-02-26,2024-03-03,2024-03-03,received,DAP,30D,EUR,314.03,65.95,379.98
PO-2024-0000296,SUP_00007,DC_BCN,2024-02-27,2024-03-01,2024-03-01,received,DAP,30D,EUR,977.03,112.36,1089.39
PO-2024-0000297,SUP_00016,DC_BCN,2024-02-27,2024-03-03,2024-03-03,received,DAP,30D,EUR,1234.4,159.67,1394.07
PO-2024-0000298,SUP_00014,DC_ZGZ,2024-02-27,2024-03-08,2024-03-08,received,DAP,30D,EUR,126.26,12.63,138.89
PO-2024-0000299,SUP_00016,DC_ZGZ,2024-02-27,2024-03-02,2024-03-02,received,DAP,30D,EUR,359.74,75.55,435.29
PO-2024-0000300,SUP_00007,DC_ZGZ,2024-02-28,2024-03-01,2024-03-01,received,DAP,30D,EUR,447.39,93.95,541.34
PO-2024-0000301,SUP_00016,DC_ZGZ,2024-02-28,2024-03-05,2024-03-05,received,DAP,30D,EUR,368.86,77.46,446.32
PO-2024-0000302,SUP_00015,DC_BCN,2024-02-28,2024-03-02,2024-03-02,received,DAP,30D,EUR,158.83,6.35,165.18
PO-2024-0000303,SUP_00016,DC_BCN,2024-02-28,2024-03-03,2024-03-03,received,DAP,30D,EUR,164.81,34.61,199.42
PO-2024-0000304,SUP_00017,DC_BCN,2024-02-28,2024-03-08,2024-03-08,received,DAP,30D,EUR,660.75,66.08,726.83
PO-2024-0000305,SUP_00007,DC_MAD,2024-02-28,2024-03-02,2024-03-02,received,DAP,30D,EUR,4351.91,332.33,4684.24
PO-2024-0000306,SUP_00014,DC_BCN,2024-03-01,2024-03-09,2024-03-09,received,DAP,30D,EUR,485.3,48.53,533.83
PO-2024-0000307,SUP_00016,DC_MAD,2024-03-01,2024-03-07,2024-03-07,received,DAP,30D,EUR,536.08,112.58,648.66
PO-2024-0000308,SUP_00015,DC_MAD,2024-03-01,2024-03-04,2024-03-04,received,DAP,30D,EUR,746.39,29.86,776.25
PO-2024-0000309,SUP_00007,DC_MAD,2024-03-01,2024-03-04,2024-03-04,received,DAP,30D,EUR,1025.65,215.39,1241.04
PO-2024-0000310,SUP_00016,DC_SEV,2024-03-01,2024-03-07,2024-03-07,received,DAP,30D,EUR,332.08,69.74,401.82
PO-2024-0000311,SUP_00015,DC_SEV,2024-03-02,2024-03-05,2024-03-05,received,DAP,30D,EUR,635.08,25.4,660.48
PO-2024-0000312,SUP_00016,DC_SEV,2024-03-02,2024-03-08,2024-03-08,received,DAP,30D,EUR,275.08,57.77,332.85
PO-2024-0000313,SUP_00019,DC_SEV,2024-03-02,2024-03-04,2024-03-04,received,DAP,30D,EUR,553.18,55.32,608.5
PO-2024-0000314,SUP_00007,DC_VLC,2024-03-02,2024-03-05,2024-03-05,received,DAP,30D,EUR,192.49,7.7,200.19
PO-2024-0000315,SUP_00004,DC_VLC,2024-03-02,2024-03-10,2024-03-10,received,DAP,30D,EUR,515.21,108.19,623.4
PO-2024-0000316,SUP_00007,DC_BCN,2024-03-04,2024-03-07,2024-03-07,received,DAP,30D,EUR,1736.54,69.46,1806.0
PO-2024-0000317,SUP_00016,DC_VLC,2024-03-04,2024-03-10,2024-03-10,received,DAP,30D,EUR,279.82,58.76,338.58
PO-2024-0000318,SUP_00016,DC_MAD,2024-03-04,2024-03-09,2024-03-09,received,DAP,30D,EUR,643.98,135.24,779.22
PO-2024-0000319,SUP_00015,DC_MAD,2024-03-04,2024-03-06,2024-03-06,received,DAP,30D,EUR,541.94,21.68,563.62
PO-2024-0000320,SUP_00019,DC_ZGZ,2024-03-05,2024-03-07,2024-03-07,received,DAP,30D,EUR,405.92,40.59,446.51
PO-2024-0000321,SUP_00016,DC_ZGZ,2024-03-05,2024-03-10,2024-03-10,received,DAP,30D,EUR,105.64,22.18,127.82
PO-2024-0000322,SUP_00007,DC_BCN,2024-03-05,2024-03-08,2024-03-08,received,DAP,30D,EUR,1097.9,56.23,1154.13
PO-2024-0000323,SUP_00016,DC_BCN,2024-03-05,2024-03-10,2024-03-10,received,DAP,30D,EUR,550.14,55.01,605.15
PO-2024-0000324,SUP_00016,DC_SEV,2024-03-05,2024-03-11,2024-03-11,received,DAP,30D,EUR,953.31,200.2,1153.51
PO-2024-0000325,SUP_00017,DC_BCN,2024-03-05,2024-03-13,2024-03-13,received,DAP,30D,EUR,338.3,33.83,372.13
PO-2024-0000326,SUP_00014,DC_BCN,2024-03-05,2024-03-14,2024-03-14,received,DAP,30D,EUR,946.33,94.63,1040.96
PO-2024-0000327,SUP_00004,DC_SEV,2024-03-05,2024-03-16,2024-03-16,received,DAP,30D,EUR,751.33,157.78,909.11
PO-2024-0000328,SUP_00014,DC_SEV,2024-03-05,2024-03-16,2024-03-16,received,DAP,30D,EUR,1474.35,147.44,1621.79
PO-2024-0000329,SUP_00015,DC_SEV,2024-03-05,2024-03-08,2024-03-08,received,DAP,30D,EUR,206.67,8.27,214.94
PO-2024-0000330,SUP_00007,DC_SEV,2024-03-05,2024-03-08,2024-03-08,received,DAP,30D,EUR,388.89,81.67,470.56
PO-2024-0000331,SUP_00014,DC_VLC,2024-03-05,2024-03-13,2024-03-13,received,DAP,30D,EUR,910.63,91.06,1001.69
PO-2024-0000332,SUP_00007,DC_SEV,2024-03-06,2024-03-09,2024-03-09,received,DAP,30D,EUR,435.82,17.43,453.25
PO-2024-0000333,SUP_00016,DC_ZGZ,2024-03-06,2024-03-12,2024-03-12,received,DAP,30D,EUR,928.33,194.95,1123.28
PO-2024-0000334,SUP_00017,DC_MAD,2024-03-06,2024-03-14,2024-03-14,received,DAP,30D,EUR,375.68,37.57,413.25
PO-2024-0000335,SUP_00014,DC_MAD,2024-03-06,2024-03-16,2024-03-16,received,DAP,30D,EUR,687.6,68.76,756.36
PO-2024-0000336,SUP_00015,DC_SEV,2024-03-06,2024-03-09,2024-03-09,received,DAP,30D,EUR,213.62,8.54,222.16
PO-2024-0000337,SUP_00019,DC_SEV,2024-03-06,2024-03-08,2024-03-08,received,DAP,30D,EUR,263.72,26.37,290.09
PO-2024-0000338,SUP_00016,DC_VLC,2024-03-06,2024-03-10,2024-03-10,received,DAP,30D,EUR,293.41,29.34,322.75
PO-2024-0000339,SUP_00007,DC_SEV,2024-03-07,2024-03-10,2024-03-10,received,DAP,30D,EUR,401.97,84.41,486.38
PO-2024-0000340,SUP_00016,DC_SEV,2024-03-07,2024-03-12,2024-03-12,received,DAP,30D,EUR,317.07,66.58,383.65
PO-2024-0000341,SUP_00017,DC_BCN,2024-03-07,2024-03-15,2024-03-15,received,DAP,30D,EUR,211.78,21.18,232.96
PO-2024-0000342,SUP_00004,DC_BCN,2024-03-07,2024-03-18,2024-03-18,received,DAP,30D,EUR,637.71,133.92,771.63
PO-2024-0000343,SUP_00015,DC_ZGZ,2024-03-07,2024-03-10,2024-03-10,received,DAP,30D,EUR,185.62,7.42,193.04
PO-2024-0000344,SUP_00007,DC_MAD,2024-03-07,2024-03-10,2024-03-10,received,DAP,30D,EUR,289.56,60.81,350.37
PO-2024-0000345,SUP_00014,DC_BCN,2024-03-08,2024-03-20,2024-03-20,received,DAP,30D,EUR,271.79,27.18,298.97
PO-2024-0000346,SUP_00004,DC_SEV,2024-03-09,2024-03-20,2024-03-20,received,DAP,30D,EUR,138.46,29.08,167.54
PO-2024-0000347,SUP_00016,DC_BCN,2024-03-09,2024-03-15,2024-03-15,received,DAP,30D,EUR,1487.61,312.4,1800.01
PO-2024-0000348,SUP_00004,DC_BCN,2024-03-09,2024-03-19,2024-03-19,received,DAP,30D,EUR,590.04,123.91,713.95
PO-2024-0000349,SUP_00007,DC_BCN,2024-03-09,2024-03-12,2024-03-12,received,DAP,30D,EUR,6328.14,253.13,6581.27
PO-2024-0000350,SUP_00005,DC_BCN,2024-03-09,2024-03-12,2024-03-12,received,DAP,30D,EUR,597.77,59.78,657.55
PO-2024-0000351,SUP_00016,DC_SEV,2024-03-09,2024-03-14,2024-03-14,received,DAP,30D,EUR,481.2,101.05,582.25
PO-2024-0000352,SUP_00017,DC_MAD,2024-03-09,2024-03-16,2024-03-16,received,DAP,30D,EUR,354.08,35.41,389.49
PO-2024-0000353,SUP_00014,DC_MAD,2024-03-09,2024-03-19,2024-03-19,received,DAP,30D,EUR,1225.66,122.57,1348.23
PO-2024-0000354,SUP_00014,DC_BCN,2024-03-09,2024-03-17,2024-03-17,received,DAP,30D,EUR,1132.04,113.2,1245.24
PO-2024-0000355,SUP_00017,DC_BCN,2024-03-09,2024-03-16,2024-03-16,received,DAP,30D,EUR,328.47,32.85,361.32
PO-2024-0000356,SUP_00019,DC_BCN,2024-03-09,2024-03-11,2024-03-11,received,DAP,30D,EUR,705.08,70.51,775.59
PO-2024-0000357,SUP_00015,DC_BCN,2024-03-09,2024-03-12,2024-03-12,received,DAP,30D,EUR,165.2,6.61,171.81
PO-2024-0000358,SUP_00007,DC_MAD,2024-03-09,2024-03-12,2024-03-12,received,DAP,30D,EUR,1776.23,373.01,2149.24
PO-2024-0000359,SUP_00016,DC_MAD,2024-03-09,2024-03-13,2024-03-13,received,DAP,30D,EUR,439.92,92.38,532.3
PO-2024-0000360,SUP_00016,DC_VLC,2024-03-09,2024-03-14,2024-03-14,received,DAP,30D,EUR,340.75,50.14,390.89
PO-2024-0000361,SUP_00019,DC_MAD,2024-03-11,2024-03-13,2024-03-13,received,DAP,30D,EUR,203.05,20.31,223.36
PO-2024-0000362,SUP_00007,DC_BCN,2024-03-11,2024-03-14,2024-03-14,received,DAP,30D,EUR,99.7,3.99,103.69
PO-2024-0000363,SUP_00016,DC_BCN,2024-03-11,2024-03-16,2024-03-16,received,DAP,30D,EUR,306.83,64.43,371.26
PO-2024-0000364,SUP_00007,DC_SEV,2024-03-11,2024-03-13,2024-03-13,received,DAP,30D,EUR,304.52,63.95,368.47
PO-2024-0000365,SUP_00017,DC_SEV,2024-03-12,2024-03-20,2024-03-20,received,DAP,30D,EUR,206.39,20.64,227.03
PO-2024-0000366,SUP_00019,DC_ZGZ,2024-03-12,2024-03-14,2024-03-14,received,DAP,30D,EUR,756.42,75.64,832.06
PO-2024-0000367,SUP_00016,DC_ZGZ,2024-03-12,2024-03-18,2024-03-18,received,DAP,30D,EUR,762.78,122.73,885.51
PO-2024-0000368,SUP_00004,DC_BCN,2024-03-13,2024-03-25,2024-03-25,received,DAP,30D,EUR,165.96,34.85,200.81
PO-2024-0000369,SUP_00007,DC_ZGZ,2024-03-14,2024-03-17,2024-03-17,received,DAP,30D,EUR,844.28,33.77,878.05
PO-2024-0000370,SUP_00007,DC_SEV,2024-03-15,2024-03-18,2024-03-18,received,DAP,30D,EUR,1297.93,272.57,1570.5
PO-2024-0000371,SUP_00007,DC_VLC,2024-03-15,2024-03-18,2024-03-18,received,DAP,30D,EUR,683.56,143.55,827.11
PO-2024-0000372,SUP_00004,DC_SEV,2024-03-16,2024-03-24,2024-03-24,received,DAP,30D,EUR,324.75,68.2,392.95
PO-2024-0000373,SUP_00015,DC_SEV,2024-03-16,2024-03-19,2024-03-19,received,DAP,30D,EUR,3017.74,120.71,3138.45
PO-2024-0000374,SUP_00015,DC_BCN,2024-03-16,2024-03-19,2024-03-19,received,DAP,30D,EUR,846.96,33.88,880.84
PO-2024-0000375,SUP_00017,DC_BCN,2024-03-16,2024-03-24,2024-03-24,received,DAP,30D,EUR,101.55,10.16,111.71
PO-2024-0000376,SUP_00007,DC_BCN,2024-03-16,2024-03-19,2024-03-19,received,DAP,30D,EUR,962.11,118.81,1080.92
PO-2024-0000377,SUP_00007,DC_SEV,2024-03-16,2024-03-19,2024-03-19,received,DAP,30D,EUR,318.81,66.95,385.76
PO-2024-0000378,SUP_00017,DC_SEV,2024-03-16,2024-03-25,2024-03-25,received,DAP,30D,EUR,190.04,19.0,209.04
PO-2024-0000379,SUP_00019,DC_BCN,2024-03-17,2024-03-19,2024-03-19,received,DAP,30D,EUR,345.62,34.56,380.18
PO-2024-0000380,SUP_00016,DC_VLC,2024-03-17,2024-03-23,2024-03-23,received,DAP,30D,EUR,94.7,19.89,114.59
PO-2024-0000381,SUP_00004,DC_BCN,2024-03-18,2024-03-27,2024-03-27,received,DAP,30D,EUR,107.51,22.58,130.09
PO-2024-0000382,SUP_00016,DC_ZGZ,2024-03-18,2024-03-23,2024-03-23,received,DAP,30D,EUR,456.34,95.83,552.17
PO-2024-0000383,SUP_00016,DC_ZGZ,2024-03-19,2024-03-23,2024-03-23,received,DAP,30D,EUR,244.68,24.47,269.15
PO-2024-0000384,SUP_00004,DC_SEV,2024-03-19,2024-03-28,2024-03-28,received,DAP,30D,EUR,440.6,92.53,533.13
PO-2024-0000385,SUP_00014,DC_SEV,2024-03-19,2024-03-28,2024-03-28,received,DAP,30D,EUR,532.29,53.23,585.52
PO-2024-0000386,SUP_00016,DC_SEV,2024-03-19,2024-03-24,2024-03-24,received,DAP,30D,EUR,529.15,111.12,640.27
PO-2024-0000387,SUP_00015,DC_SEV,2024-03-19,2024-03-22,2024-03-22,received,DAP,30D,EUR,190.37,7.61,197.98
PO-2024-0000388,SUP_00007,DC_BCN,2024-03-20,2024-03-23,2024-03-23,received,DAP,30D,EUR,312.12,65.55,377.67
PO-2024-0000389,SUP_00004,DC_BCN,2024-03-20,2024-04-01,2024-04-01,received,DAP,30D,EUR,179.58,37.71,217.29
PO-2024-0000390,SUP_00014,DC_VLC,2024-03-21,2024-03-30,2024-03-30,received,DAP,30D,EUR,818.1,81.81,899.91
PO-2024-0000391,SUP_00015,DC_VLC,2024-03-21,2024-03-24,2024-03-24,received,DAP,30D,EUR,289.71,11.59,301.3
